stairs_1623_0.mcap  时长 87 s  Odometry 872  IMU 17431  关节 17431  cmd 1256  climb_mode [(np.float64(17.1), 2), (np.float64(35.3), 2), (np.float64(76.3), 0)]
    t     Δz    行程   vx令   roll  pitch    yaw | 轮速 fl fr hl hr (rad/s) | 轮力矩 |均| fl fr hl hr | 堵转%(|τ|>6&|v|<1) | 膝 fl fr hl hr
    0  +0.01  0.01  0.00   +0.8   -1.0 +175.6 |  +0.0  -0.0  +0.0  -0.0 |  0.3  0.0  0.2  0.2 |    0    0    0    0 | +2.11 -2.09 -2.07 +2.09
    2  +0.00  0.01  0.00   +0.8   -1.0 +175.6 |  -0.0  -0.0  +0.0  -0.0 |  0.3  0.0  0.2  0.2 |    0    0    0    0 | +2.11 -2.09 -2.07 +2.10
    4  +0.00  0.01  0.00   +0.8   -1.0 +175.5 |  +0.0  -0.0  +0.0  -0.0 |  0.2  0.0  0.2  0.2 |    0    0    0    0 | +2.11 -2.08 -2.07 +2.09
    6  -0.02  0.05  0.19   +1.4   -0.7 +175.6 |  -2.0  +1.8  -0.5  +0.4 |  0.3  0.2  0.2  0.5 |    0    0    0    0 | +1.80 -1.77 -1.82 +1.81
    8  -0.03  0.51  0.25   +1.7   -6.2 +156.5 |  -3.9  +3.6  -3.3  +3.8 |  1.1  0.5  0.4  0.9 |    0    0    0    0 | +1.29 -1.17 -1.36 +1.42
   10  +0.12  1.25  0.25   -1.1   -8.5 +145.1 |  -7.3  +6.0  -5.4  +5.2 |  1.8  1.2  1.2  1.0 |    0    0    0    0 | +1.33 -1.17 -1.39 +1.38
   12  +0.36  2.15  0.25   +0.6   -8.2 +148.1 |  -7.1  +5.6  -4.8  +6.3 |  1.7  1.4  1.3  1.0 |    0    0    0    0 | +1.32 -1.22 -1.45 +1.42
   14  +0.62  3.06  0.25   -0.9   -6.6  +53.9 |  -7.8  +6.9  -4.5  +4.6 |  1.9  1.0  1.2  1.0 |    0    0    0    0 | +1.33 -1.17 -1.39 +1.41
   16  +0.86  3.79  0.19   +5.8   -8.4  +98.5 |  -9.0  +5.5  -5.3  +6.1 |  1.6  2.1  1.7  1.4 |    0    0    0    1 | +1.37 -1.41 -1.68 +1.39
   18  +1.02  4.39  0.16   -2.3   -4.1 +145.4 |  -6.2  +4.9  -3.5  +5.1 |  1.8  2.2  0.8  1.2 |    2    0    0    0 | +1.71 -1.66 -1.70 +1.85
   20  +1.12  4.81  0.22   +0.1   -6.1 +168.6 |  -5.8  +4.0  -3.4  +5.3 |  1.6  2.0  1.0  0.8 |    2    1    0    0 | +1.67 -1.57 -1.66 +1.78
   22  +1.25  5.28  0.19   +1.5   -7.1 +165.8 |  -7.3  +6.1  -4.3  +5.4 |  1.6  1.7  1.2  1.1 |    1    0    0    0 | +1.37 -1.39 -1.57 +1.63
   24  +1.44  5.65  0.20   +4.0  -17.8 +144.8 |  -2.4  +1.3  -1.2  +0.2 |  1.7  0.6  1.0  0.6 |    0    0    0    0 | +1.96 -2.01 -1.89 +2.18
   26  +1.46  5.72  0.03   +1.4  -18.8 +166.1 |  -0.5  +0.3  -0.1  +0.3 |  1.9  0.1  0.8  0.5 |    0    0    0    0 | +2.16 -2.17 -2.09 +2.20
   28  +1.46  5.72  0.00   +1.7  -19.2 +166.9 |  -0.2  +0.1  -0.1  +0.2 |  2.0  0.1  0.8  0.4 |    0    0    0    0 | +2.19 -2.18 -2.10 +2.21
   30  +1.45  5.74  0.00   +1.2  -19.1 +167.6 |  -0.2  +0.0  +0.0  +0.1 |  1.9  0.1  0.9  0.6 |    0    0    0    0 | +2.17 -2.18 -2.11 +2.21
   32  +1.47  5.77  0.00   +0.7  -19.6  +95.4 |  -1.4  -0.1  +0.3  -0.8 |  1.9  0.7  1.4  0.8 |    0    0    0    0 | +2.17 -2.22 -2.16 +2.13
   34  +1.42  5.69  0.00   +1.6  -19.4 +154.5 |  -1.8  -0.3  +0.1  -0.0 |  1.5  0.6  0.5  1.0 |    0    0    0    0 | +2.16 -2.10 -2.10 +2.17
   36  +1.44  5.69  0.00   +1.5  -20.2 +159.8 |  -0.4  +0.2  -0.2  +0.4 |  1.8  0.1  0.9  0.3 |    0    0    0    0 | +2.18 -2.17 -2.11 +2.18
   38  +1.44  5.74  0.00   +0.0  -19.9 +161.4 |  -0.3  +0.1  -0.2  +0.1 |  2.1  0.1  1.1  0.2 |    0    0    0    0 | +2.18 -2.21 -2.14 +2.20
   40  +1.45  5.77  0.00   -1.5  -19.6 +164.9 |  -0.8  +0.4  -0.0  +0.3 |  2.0  0.6  1.4  0.4 |    0    0    0    0 | +2.15 -2.24 -2.17 +2.13
   42  +1.43  5.77  0.00   +0.2  -19.3 +154.7 |  -0.4  -0.3  +0.0  -0.8 |  2.4  0.4  0.8  1.2 |    0    0    0    0 | +2.15 -2.17 -2.16 +2.21
   44  +1.47  5.81  0.00   -1.8  -16.4 +174.2 |  -4.0  +0.0  +0.1  +0.6 |  2.4  0.3  2.5  0.3 |    0    0    0    0 | +2.14 -2.37 -2.31 +1.86
   46  +1.46  5.75  0.00   -0.5  -16.7 +170.4 |  -1.4  -0.1  +0.5  -0.7 |  2.1  0.5  1.5  0.3 |    0    0    0    0 | +2.10 -2.28 -2.27 +2.01
   48  +1.44  5.68  0.06   -0.4  -18.4 +159.6 |  -0.1  -0.1  -0.0  +0.1 |  2.0  0.4  1.0  0.6 |    0    0    0    0 | +2.12 -2.18 -2.15 +2.17
   50  +1.43  5.79  0.24   +2.2  -20.7 +158.7 |  -1.2  +1.0  -0.8  +1.0 |  2.6  0.3  0.8  0.8 |    0    0    0    0 | +2.10 -2.09 -1.99 +2.18
   52  +1.43  5.82  0.16   +1.3  -20.4 +158.7 |  -0.9  +0.3  +0.1  +0.1 |  2.6  0.4  0.5  0.8 |    0    0    0    0 | +2.13 -2.14 -2.07 +2.22
   54  +1.43  5.83  0.02   +0.7  -18.5 +154.2 |  -0.0  -0.3  -0.1  -0.8 |  2.9  0.4  0.6  1.3 |    0    0    0    0 | +2.10 -2.12 -2.09 +2.22
   56  +1.43  5.79  0.00   +0.1  -18.5 +154.2 |  -0.2  -0.1  +0.2  -0.1 |  2.5  0.4  0.7  1.3 |    0    0    0    0 | +2.14 -2.15 -2.15 +2.17
   58  +1.43  5.78  0.00   +0.5  -18.6 +153.4 |  -0.4  -0.1  +0.1  +0.0 |  2.5  0.4  0.8  1.3 |    0    0    0    0 | +2.15 -2.15 -2.15 +2.17
   60  +1.43  5.76  0.00   -0.0  -19.2 +155.7 |  -0.6  -0.1  -0.0  -0.1 |  2.5  0.4  0.9  1.0 |    0    0    0    0 | +2.17 -2.19 -2.17 +2.17
   62  +1.43  5.75  0.00   -0.8  -19.6 +157.5 |  -0.4  +0.0  +0.1  +0.3 |  2.3  0.2  1.0  0.6 |    0    0    0    0 | +2.18 -2.20 -2.17 +2.16
   64  +1.44  5.76  0.00   -0.9  -19.7 +159.2 |  -0.5  +0.0  +0.0  -0.0 |  2.1  0.2  1.0  0.4 |    0    0    0    0 | +2.17 -2.20 -2.17 +2.18
   66  +1.44  5.76  0.00   -1.0  -19.5 +159.4 |  -0.4  +0.0  +0.0  -0.0 |  2.1  0.3  1.1  0.5 |    0    0    0    0 | +2.15 -2.20 -2.17 +2.18
   68  +1.44  5.77  0.16   -0.4  -20.0 +158.9 |  -0.8  +0.3  -0.3  +0.4 |  2.5  0.3  1.1  0.5 |    0    0    0    0 | +2.15 -2.18 -2.13 +2.18
   70  +1.44  5.83  0.30   +0.9  -19.6 +157.6 |  -0.8  +0.4  +0.0  +0.2 |  3.6  0.6  0.5  0.9 |    0    0    0    0 | +2.03 -2.08 -1.98 +2.19
   72  +1.55  6.24  0.15   +7.6  +13.8  +98.8 | -11.1 +11.1  -5.8  +4.9 |  3.0  2.9  1.1  0.7 |    1    1    0    0 | +2.05 -1.99 -2.16 +1.96
   74  +1.21  5.41  0.00  +58.6  -14.0  +27.1 |  -1.3  +6.7  -4.6 -22.7 |  0.6  2.0  0.5  1.2 |    0    0    0    0 | +2.87 -2.90 -2.76 +2.80
   76  +0.95  4.50  0.00  +78.0   -1.2 -132.1 |  +3.1  -0.2  -1.0  -4.3 |  0.3  0.1  0.0  0.1 |    0    0    0    0 | +1.99 -2.76 -2.38 +2.14
   78  +0.92  4.50  0.00  +66.1   -1.0 -132.2 |  +0.0  +0.0  +0.0  +0.0 |  0.0  0.0  0.0  0.0 |    0    0    0    0 | +1.89 -2.69 -2.50 +2.17
   80  +0.90  4.51  0.00  +66.1   -1.0 -132.2 |  +0.0  -0.0  -0.0  +0.0 |  0.0  0.0  0.0  0.0 |    0    0    0    0 | +1.89 -2.69 -2.51 +2.18
   82  +0.91  4.51  0.00  +66.1   -1.0 -132.2 |  +0.0  +0.0  +0.0  -0.0 |  0.0  0.0  0.0  0.0 |    0    0    0    0 | +1.89 -2.69 -2.51 +2.18
   84  +0.89  4.46  0.00  +66.4   -0.4 -132.6 |  +0.0  +0.0  -0.4  -0.2 |  0.0  0.0  0.0  0.0 |    0    0    0    0 | +1.90 -2.69 -2.55 +2.32
   86  +0.95  4.49  0.00  +64.0  +14.2 -154.4 |  +0.0  -0.0  +0.0  -0.6 |  0.0  0.0  0.0  0.0 |    0    0    0    0 | +2.00 -2.58 -2.86 +2.40
