时长 78 s  climb_mode 事件: [(np.float64(6.2), 2), (np.float64(6.2), 0), (np.float64(6.6), 2), (np.float64(17.3), 0), (np.float64(75.7), 0)]
/hmap_info 5 列取值范围: c0 0.03743~0.6524  c1 5.213e-05~0.0003279  c2 15~31  c3 0.0006102~0.1207  c4 10.6~13.93
   t   vx令   wz令   LIOz LIOdz/s  LIOyaw IMUroll  pitch | 轮力矩|均| fl fr hl hr | 堵转%(|τ|>6&|v|<1) | raw空洞% raw墙格% 填图墙格% 填图帧跳p95 | hmap_info hole_rate map_coverage frames cloud_age tilt_deg
   0  0.00  0.00 -16.42   -0.01    67.9    -1.5   -2.9 |  0.5  0.3  1.0  0.9 |    0    0    0    0 |   31.6    0.0    0.0   0.06 | 0.316 0.000201 20.3 0.0207 10.7
   1  0.00  0.00 -16.42   -0.02    67.8    -1.5   -2.9 |  0.4  0.3  1.0  0.9 |    0    0    0    0 |   31.1    0.0    0.0   0.08 | 0.311 0.000202 23.5 0.0215 10.7
   2  0.00  0.00 -16.43   -0.01    67.9    -1.5   -2.9 |  0.5  0.4  1.0  0.9 |    0    0    0    0 |   31.4    0.0    0.0   0.06 | 0.314 0.000205 22.7 0.0218 10.6
   3  0.00  0.00 -16.42   +0.04    67.9    -1.4   -2.9 |  0.4  0.3  0.9  0.9 |    0    0    0    0 |   32.1    0.0    0.0   0.05 | 0.321 0.000208 22.1 0.0224 10.6
   4  0.00  0.00 -16.40   -0.03    67.8    -1.4   -2.9 |  0.3  0.3  0.9  0.9 |    0    0    0    0 |   31.0    0.0    0.0   0.06 | 0.31 0.000208 24.4 0.0196 10.6
   5  0.00  0.00 -16.44   -0.00    67.6    -1.5   -2.8 |  0.4  0.6  1.0  0.7 |    0    0    0    0 |   30.4    0.0    0.0   0.11 | 0.304 0.000201 21.7 0.0197 10.7
   6  0.15  0.02 -16.41   +0.06    67.0    -0.3   -2.3 |  0.8  0.5  1.0  0.8 |    0    0    0    0 |   29.8    0.0    0.0   0.09 | 0.298 0.0002 21.2 0.0257 10.6
   7  0.25  0.09 -16.22   +0.15    64.4    -0.9   +1.6 |  1.2  2.3  0.6  0.6 |    0    2    0    0 |   27.9    1.1    1.1   0.66 | 0.279 0.00022 24.7 0.0251 11.2
   8  0.25  0.02 -16.30   -0.16    67.4    -2.0   -1.2 |  0.9  2.6  0.4  0.7 |    0    0    0    0 |   11.7   21.8   21.8   0.66 | 0.117 0.000231 21.8 0.0258 11.7
   9  0.25 -0.10 -16.43   -0.05    70.9    -2.4   -0.2 |  1.6  0.9  0.4  0.7 |    0    0    0    0 |   14.4   37.0   40.4   0.53 | 0.144 0.000239 22.5 0.0202 11.5
