stairs_1627_0.mcap  时长 112 s  Odometry 1124  IMU 22300  关节 22299  cmd 1611  climb_mode [(np.float64(43.5), 2)]
    t     Δz    行程   vx令   roll  pitch    yaw | 轮速 fl fr hl hr (rad/s) | 轮力矩 |均| fl fr hl hr | 堵转%(|τ|>6&|v|<1) | 膝 fl fr hl hr
    0  -0.00  0.01  0.00   +0.8   -1.0 -170.7 |  +0.0  -0.0  +0.0  -0.0 |  0.3  0.1  0.3  0.2 |    0    0    0    0 | +2.13 -2.10 -2.07 +2.10
    2  -0.01  0.02  0.00   +0.7   -0.9 -170.8 |  +0.0  +0.0  +0.0  -0.0 |  0.3  0.1  0.2  0.2 |    0    0    0    0 | +2.13 -2.10 -2.07 +2.10
    4  -0.01  0.02  0.00   +0.7   -0.9 -170.8 |  +0.0  +0.0  +0.0  -0.0 |  0.3  0.0  0.3  0.3 |    0    0    0    0 | +2.14 -2.10 -2.07 +2.10
    6  -0.01  0.02  0.00   +0.7   -0.9 -170.9 |  +0.0  -0.0  -0.0  -0.0 |  0.3  0.1  0.2  0.3 |    0    0    0    0 | +2.14 -2.10 -2.07 +2.10
    8  -0.01  0.02  0.00   +0.6   -0.9 -170.8 |  +0.0  -0.0  -0.0  -0.0 |  0.3  0.1  0.2  0.2 |    0    0    0    0 | +2.13 -2.10 -2.07 +2.10
   10  -0.03  0.05  0.20   +0.7   -0.8 -170.5 |  -2.3  +2.4  -1.2  +1.0 |  0.4  0.3  0.4  0.8 |    0    0    0    0 | +1.81 -1.79 -1.82 +1.81
   12  -0.02  0.55  0.25   +2.2   -7.9 -171.4 |  -3.9  +3.0  -3.0  +3.6 |  1.3  0.9  0.4  0.7 |    0    0    0    0 | +1.30 -1.15 -1.40 +1.39
   14  +0.15  1.30  0.25   -1.4   -8.4 -152.8 |  -7.5  +7.4  -5.3  +4.5 |  1.7  1.0  1.4  1.0 |    0    0    0    0 | +1.36 -1.08 -1.38 +1.42
   16  +0.39  2.24  0.25   +1.3   -9.7 -129.3 |  -6.1  +5.2  -4.6  +5.3 |  1.7  1.2  0.9  1.1 |    0    0    0    0 | +1.40 -1.14 -1.48 +1.41
   18  +0.62  3.10  0.25   -1.2   -6.4 -149.6 |  -7.9  +8.3  -5.0  +4.6 |  2.1  1.0  1.1  1.2 |    0    0    0    0 | +1.42 -1.11 -1.42 +1.38
   20  +0.86  3.95  0.25   -0.0   -8.5 -149.4 |  -5.7  +5.7  -4.1  +4.4 |  1.4  0.9  0.9  1.1 |    0    0    0    0 | +1.34 -1.15 -1.43 +1.44
